created_at,text,username,screen_name,verified,followers_count
Tue Oct 19 23:02:41 +0000 2021,I can't deal with peons everybody around me havin they own motion fr,D.Craig,D_Craig00,False,4562
Tue Oct 19 23:02:41 +0000 2021,"A great responsibility we pass from it, and we hope that you will help us in this volunteer work, please@MasonD3@alid2912 @FleetSusie@Patrici39517272.@GBooth74@Sicktothebackt1.@SustainableZon3@DaniJ65974055.@MrBadger62@ZuzanaSuzy111 @Chris_1791@MAGA_Len @PKeppelman",Anne -marie,GrosUsai,False,1070
Tue Oct 19 23:02:41 +0000 2021,"@Telegraph PS30/hr might be good, but it's casual work for a couple of days here and there, and in different locations, which doesn't give an opportunity to settle",Johnny Penguin,D25percent,False,21
Tue Oct 19 23:02:41 +0000 2021,@JustRomeoG I'm so sorry sweetie... I'll be praying for you and your family.,Ruby M. Stuart,Nyricanamazon,False,129
Tue Oct 19 23:02:41 +0000 2021,I be smoking by myself and still be losing the lighter ,NG,NgDai_,False,4559
Tue Oct 19 23:02:41 +0000 2021,Judge Rules University Can Continue To Admit Students Through A 'Race Conscious Admissions Program' https://t.co/xMQYMDEefJ,FutureTimes15,FTimes15,False,1161
Tue Oct 19 23:02:41 +0000 2021,I got chills.I. NEED. THISSSSS,SaueBlackFoodie,SAUEBLACKFOODIE,False,19567
Tue Oct 19 23:02:41 +0000 2021,In the antebellum U.S. --- an American just traded someone's parent. https://t.co/89i6fiD58X,BestOf TheBots,BestOfTheBots,False,699
Tue Oct 19 23:02:41 +0000 2021,Please have some a drink of water always...,Andreas,andreaskleovou1,False,14
Tue Oct 19 23:02:41 +0000 2021,@KellyannePolls I miss you Kelly Ann.,Gerald Giggs,IwestTech,False,39
Tue Oct 19 23:02:41 +0000 2021," #UnboundFinance Private Sale Whitelisting is now OPEN !!Participate and stand a chance to be one of the lucky 100 winners who gets to participate in our private sale, exclusively for #Unbounders. Contest Link : https://t.co/b6Lep1xkAaT&amp;C : https://t.co/Wt0ZUrRL0S https://t.co/eKsYgg6WtI",omon,omon74915501,False,18
Tue Oct 19 23:02:41 +0000 2021,"@January6thCmte Hold a vote to send to the full House. When does full house vote, Friday? Then, on2 Justice Dep't, 2 b investigated ... Subpoena never enforced.",His Dollyness,HDollyness,False,20
Tue Oct 19 23:02:41 +0000 2021,@vivtran12 @courtcheyy I'm mad i got to,Dedrian Parmer Jr,5GoneBadd,False,1267
